question_id,predictive_entropy,lexical_similarity,semantic_entropy,num_clusters,responses,resp_log_probs,question
0,0.0,0.0,0.0,0,"['MRI', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'MRI', 'MRI', 'MRI', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What modality is used to take this image?
10,0.0,0.0,0.0,0,"['The largest organ in the picture is the heart.', 'The largest organ in the picture is the lung.', 'The largest organ in the picture is the lung.', 'Lung', 'Heart', 'The largest organ in the picture is the lung.', 'The largest organ in the picture is the lung.', 'The largest organ in the picture is the lungs.', 'The largest organ in the picture is the lungs.', 'Heart.', 'Lung', 'Lung', 'The largest organ in the picture is the heart.', 'The largest organ in the picture is Heart.', 'The largest organ in the picture is the heart.', 'The largest organ in the picture is the lungs.', 'The largest organ in the picture is heart.', 'The largest organ in the picture is the lung.', 'Heart', 'The largest organ in the picture is the heart.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the largest organ in the picture?
1000,0.0,0.0,0.0,0,"['The organ with the black hole in the upper right corner is the stomach.', 'The organ is the colon.', 'The black hole in the upper right corner is the stomach.', 'The black hole in the upper right corner of the image is part of the stomach.', 'The organ in the black hole in the upper right corner is the stomach.', 'The black hole in the upper right corner is the Colon.', 'The black hole in the upper right corner is the stomach.', 'The organ in the black hole in the upper right corner is Stomach.', 'The organ is the stomach.', 'The organ that the black hole in the upper right corner belongs to is Stomach.', 'The organ with the black hole in the upper right corner is the stomach.', 'The organ that forms the black hole in the upper right corner is the spleen.', 'Spleen', 'The organ that the black hole is located in the upper right corner is the stomach.', 'The organ is Stomach.', 'The organ in the upper right corner with the black hole is the stomach.', 'The organ in the upper right corner is the spleen.', 'The organ that corresponds to the black hole in the upper right corner is the stomach.', 'The organ in the upper right corner that appears as a black hole is likely a part of the **colon** or **intestine** filled with air.', 'The black hole in the upper right corner is the stomach.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What organ is the black hole in the upper right corner?
1001,0.0,0.0,0.0,0,"['The kidney in the picture has a bean shape.', 'The kidney in the picture has a bean shape.', 'The shape of the kidney in the picture is oval.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is ovoid or bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture have a bean shape.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is Bean.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidney in the picture has a bean shape.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture have a bean-like shape.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the shape of the kidney in the picture?
1002,0.0,0.0,0.0,0,"['CT', 'CT', 'CT scan', 'CT', 'CT scan', 'CT', 'CT', 'CT', 'CT', 'CT scan', 'CT', 'CT', 'CT', 'CT scan', 'CT scan', 'CT', 'CT', 'The modality used to take this image is CT.', 'CT', 'CT']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What modality is used to take this image?
1012,0.0,0.0,0.0,0,"['The organ on the left side of this image is the liver.', 'Liver', 'The organ on the left side of this image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of the image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of the image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of the image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of the image is the liver.', 'The organ on the left side of the image is the liver.', 'The organ on the left side of this image is the Liver.', 'Liver', 'The organ on the left side of the image is the liver.', 'The organ on the left side of this image is the liver.', 'The organ on the left side of the image is the Liver.', 'The organ on the left side of the image is the liver.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the organ on the left side of this image?
1013,0.0,0.0,0.0,0,"['axial', 'axial', 'axial', 'Transverse plane.', 'Axial', 'axial', 'axial', 'Transverse.', 'Axial', 'The scanning plane of this image is axial.', 'Axial', 'Axial', 'The scanning plane of this image is axial.', 'Axial', 'Transverse.', 'Transverse', 'axial', 'Axial', 'The scanning plane of this image is Axial.', 'Axial']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the scanning plane of this image?
1014,0.0,0.0,0.0,0,"['The kidney in the picture is bean-shaped.', 'The kidney in the picture has a bean shape.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture are bean-shaped.', 'The kidney in the picture has a horseshoe shape.', 'It is oval.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture are bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture are bean-shaped.', 'The shape of the kidney in the picture is horseshoe-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The kidneys in the picture are bean-shaped.', 'The kidneys in the picture have a bean shape.', 'The kidney in the picture is bean-shaped.', 'The kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.', 'The shape of the kidney in the picture is bean-shaped.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the shape of the kidney in the picture?
1015,0.0,0.0,0.0,0,"['MRI', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'This image appears to be an MRI scan.', 'The modality used to take this image is MRI.', 'MRI', 'MRI', 'The modality used to take this image is MRI.', 'MRI', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.', 'The modality used to take this image is MRI.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What modality is used to take this image?
1017,0.0,0.0,0.0,0,"['The MR weighting in this image appears to be T1-weighted.', 'T2 weighting', 'The MR weighting in this image appears to be T1-weighted. This is based on the appearance of fat, which is typically bright (high signal intensity) in T1-weighted images. The fluid within the abdomen is relatively dark, which is also characteristic of T1-weighted imaging.', 'The MRI weighting in this image appears to be T1-weighted.', 'T1', 'The MR weighting in this image is T1-weighted.', 'The MR weighting in this image appears to be T1-weighted.', 'Based on the image characteristics (signal intensities of different tissues), the MR weighting in this image is likely T1-weighted.', ""Based on the image characteristics, the MR weighting is likely T1-weighted. Here's why:"", 'Based on the image characteristics, the MR weighting in this image is likely **T1-weighted**.', 'The MR weighting in this image appears to be T1-weighted.', 'The MR weighting in this image appears to be T1-weighted.', 'T2 weighting', 'The MRI weighting in this image appears to be T1-weighted.', 'The MR weighting in this image appears to be T1-weighted.', 'The MR weighting in this image appears to be T1-weighted.', 'T1 weighting.', 'The MR weighting in this image appears to be T1-weighted. This is based on the following observations:', 'T2-weighted', 'The MR weighting in this image appears to be T2-weighted.']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",What is the mr weighting in this image?
